name,coach_id,team,season,league,last_updated,expectation,result,difference
Richie Wellens,Richie Wellens-SAL-2021,Salford City,2021,ENG-League Two,18,79.53055,70.3073,-9.223250000000007
Richie Wellens,Richie Wellens-SWI-1819,Swindon Town,1819,ENG-League Two,27,54.1922,64.0,9.8078
Richie Wellens,Richie Wellens-SWI-1920,Swindon Town,1920,ENG-League Two,34,77.77025,69.0,-8.770250000000004
Richie Wellens,Richie Wellens-SWI-2021,Swindon Town,2021,ENG-League One,9,60.5957,54.14755,-6.448149999999998
Rick Kruys,Rick Kruys-UTR-2122,FC Utrecht,2122,NED-Eredivisie,8,50.95545,47.0,-3.955449999999999
Rikard Norling,Rikard Norling-AIK-1819,AIK Solna,1819,SWE-Allvenskan,11,67.0335,67.0,-0.03350000000000364
Rikard Norling,Rikard Norling-AIK-1920,AIK Solna,1920,SWE-Allvenskan,34,58.02665,62.0,3.9733500000000035
Rikard Norling,Rikard Norling-AIK-2021,AIK Solna,2021,SWE-Allvenskan,8,54.51385,42.1683,-12.345549999999996
Rikard Norling,Rikard Norling-IFKN-2122,IFK Norrköping,2122,SWE-Allvenskan,27,49.0721,44.0,-5.072099999999999
Rikard Norling,Rikard Norling-IFKN-2223,IFK Norrköping,2223,SWE-Allvenskan,13,45.04815,40.5063,-4.541849999999997
Rini Coolen,Rini Coolen-RBK-1819,Rosenborg BK,1819,NOR-Eliteserien,10,66.5769,64.0,-2.576899999999995
Rob Edwards,Rob Edwards-FGR-2122,Forest Green Rovers,2122,ENG-League Two,42,63.9463,84.0,20.0537
Rob Edwards,Rob Edwards-WAT-2223,Watford FC,2223,ENG-Championship,9,83.2293,73.6411,-9.5882
Rob Kelly,Rob Kelly-BRW-2021,Barrow AFC,2021,ENG-League Two,16,46.56205,50.0,3.4379500000000007
